Time,Reporter,Type,Content,Screenshot,RTF Note
2016-12-01 17:41:03,marcin.blaszczyk,(Rapid Reporter version),"1.16.05.20",,
2016-12-01 17:41:03,marcin.blaszczyk,Session Reporter,"marcin.blaszczyk",,
2016-12-01 17:41:03,marcin.blaszczyk,Session Charter,"math.uni.lodz.pl",,
2016-12-01 17:41:23,marcin.blaszczyk,autogenerated,"screenshot saved",1_20161201_174122.jpg,
2016-12-01 17:43:43,marcin.blaszczyk,autogenerated,"screenshot saved",2_20161201_174343.jpg,
2016-12-01 17:45:16,marcin.blaszczyk,autogenerated,"screenshot saved",3_20161201_174516.jpg,
2016-12-01 17:46:24,marcin.blaszczyk,autogenerated,"screenshot saved",4_20161201_174624.jpg,
2016-12-01 17:46:49,marcin.blaszczyk,autogenerated,"screenshot saved",5_20161201_174649.jpg,
2016-12-01 17:48:19,marcin.blaszczyk,autogenerated,"screenshot saved",6_20161201_174819.jpg,
2016-12-01 17:48:40,marcin.blaszczyk,autogenerated,"screenshot saved",7_20161201_174840.jpg,
2016-12-01 17:49:07,marcin.blaszczyk,autogenerated,"screenshot saved",8_20161201_174907.jpg,
2016-12-01 17:49:17,marcin.blaszczyk,autogenerated,"screenshot saved",9_20161201_174917.jpg,
2016-12-01 17:49:52,marcin.blaszczyk,autogenerated,"screenshot saved",10_20161201_174952.jpg,
2016-12-01 17:50:09,marcin.blaszczyk,autogenerated,"screenshot saved",11_20161201_175009.jpg,
2016-12-01 17:50:31,marcin.blaszczyk,autogenerated,"screenshot saved",12_20161201_175031.jpg,
2016-12-01 17:50:57,marcin.blaszczyk,autogenerated,"screenshot saved",13_20161201_175057.jpg,
2016-12-01 17:51:31,marcin.blaszczyk,Session End. Duration,"00:10:27",,
